timestamp,iface,can_id,data,pgn,priority,destination,source,label
0.0,can0,217058307,EA039616FFFFFFFF,61452,3,,3,normal
3e-06,can0,418385664,760FFFFFD59FFFFF,61455,6,,0,normal
0.002695,can0,419348235,00007D7D7D7DFFFF,65215,6,,11,normal
0.003319,can0,217056000,D1000EFFFF0F697E,61443,3,,0,normal
0.003931,can0,419361024,FF0000FCFF6800CF,65265,6,,0,normal
0.007792,can0,217055747,C00000FFF7521603,61442,3,,3,normal
0.00961,can0,217056049,FFFFFFFFFFFFFFFF,61443,3,,49,normal
0.010237,can0,217056256,007D859F16000F85,61444,3,,0,normal
0.013354,can0,285057792,FFFF13FFFFFFFFFF,64931,4,,0,normal
0.013613,can0,419338496,FFFFFFFFFFFFFFFF,65177,6,,0,normal
0.01419,can0,418381865,F07D7DF329FFFF3C,61440,6,,41,normal
0.017782,can0,217055747,C00000FFF7521603,61442,3,,3,normal
0.018302,can0,419269632,FFFF0000FFFFFFFF,64908,6,,0,normal
0.018871,can0,217058307,E9037C16FFFFFFFF,61452,3,,3,normal
0.019443,can0,419356416,84A0287D7FFFFFF5,65247,6,,0,normal
0.023434,can0,419224576,9FFFFFFF50680000,64732,6,,0,normal
0.023983,can0,217056000,D1000EFFFF0F687E,61443,3,,0,normal
0.024595,can0,486445568,FF9C90FFFFFF0000,65170,7,,0,normal
0.027757,can0,217055747,C00000FFF7521603,61442,3,,3,normal
0.029947,can0,217056256,707D84B016000F85,61444,3,,0,normal
0.033245,can0,217057792,84038705FFFFFFFF,61450,3,,0,normal
0.033635,can0,419271680,C914FFFFFFFFFFFF,64916,6,,0,normal
0.034238,can0,419363840,FFFFFFFFFFFFFFFF,65276,6,,0,normal
0.034807,can0,418385408,0C25FFFFD59FFFFF,61454,6,,0,normal
0.037776,can0,217055747,C00000FFF7521603,61442,3,,3,normal
0.03835,can0,419241984,B93DFFFFFFFFFFFF,64800,6,,0,normal
0.03904,can0,217058307,F003DB16FFFFFFFF,61452,3,,3,normal
0.039501,can0,418394880,FFFFFFFFFFFFFFFF,61491,6,,0,normal
0.040047,can0,419356416,84A0287D7FFFFFF5,65247,6,,0,normal
0.043607,can0,419356672,CC2C010015963500,65248,6,,0,normal
0.043878,can0,217056000,D1000EFFFF0F697E,61443,3,,0,normal
0.047675,can0,201392901,FFFFFFFFFFF3FFFF,256,3,3.0,5,normal
0.04783,can0,217055747,C00000FFF7511603,61442,3,,3,normal
0.049116,can0,419361280,15000000C209E1FF,65266,6,,0,normal
0.049124,can0,418385664,760FFFFFD59FFFFF,61455,6,,0,normal
0.049983,can0,217056256,707D84AC16000F85,61444,3,,0,normal
0.057821,can0,217055747,C00000FFF7511603,61442,3,,3,normal
0.058415,can0,419356416,84A0287D7FFFFFF5,65247,6,,0,normal
0.059088,can0,217058307,EC03C316FFFFFFFF,61452,3,,3,normal
0.05958,can0,285015296,FFFFFFFF0032FFFF,64765,4,,0,normal
0.060799,can0,418382129,FFFFFF3F00FFFFFF,61441,6,,49,normal
0.060802,can0,418383107,7D00007D4E204E43,61445,6,,3,normal
0.061156,can0,419361073,F3FFFFC3CCFFFFF0,65265,6,,49,normal
0.061826,can0,419318275,031F4FFFFFF3FFFF,65098,6,,3,normal
0.06236,can0,419360817,FFFFFFFFFFFCCCFF,65264,6,,49,normal
0.062999,can0,419383345,0000FFFF00000000,65352,6,,49,normal
0.063602,can0,419361329,FFFFFFFFFFFFFFFF,65266,6,,49,normal
0.064102,can0,419249664,F041FFDC3EFFFFFF,64830,6,,0,normal
0.064732,can0,217056049,FFFFFFFFFFFFFFFF,61443,3,,49,normal
0.065631,can0,217056000,D1000EFFFF0F697E,61443,3,,0,normal
0.068099,can0,217055747,C00000FFF7531603,61442,3,,3,normal
0.068309,can0,418382080,FFFFFFFFFFFFFFFF,61441,6,,0,normal
0.070793,can0,217056256,007D85AC16000F85,61444,3,,0,normal
0.077779,can0,217055747,C00000FFF7531603,61442,3,,3,normal
0.079162,can0,419356416,84A0287D7FFFFFF5,65247,6,,0,normal
0.079169,can0,217058307,EA037116FFFFFFFF,61452,3,,3,normal
0.083423,can0,419250176,FF3F00FFFFFFFFFF,64832,6,,0,normal
0.083987,can0,217056000,D1000EFFFF0F697E,61443,3,,0,normal
0.084553,can0,217057792,84037405FFFFFFFF,61450,3,,0,normal
0.085152,can0,419360768,FFFFFFA916FFFFFF,65264,6,,0,normal
0.085721,can0,418385408,1825FFFFD59FFFFF,61454,6,,0,normal
0.086303,can0,485293824,200E0002FFCAFE00,60416,7,255.0,0,normal
0.087787,can0,217055747,C00000FFF7581603,61442,3,,3,normal
0.088331,can0,418394880,FFFFFFFFFFFFFFFF,61491,6,,0,normal
0.089886,can0,217056256,707D84A416000F85,61444,3,,0,normal
0.093601,can0,418382091,CFFFF0FFFFCDFFFF,61441,6,,11,normal
0.093609,can0,419230208,E1FFFFFFFFFFFFFF,64754,6,,0,normal
0.097707,can0,201392901,FFFFFFFFFFF3FFFF,256,3,3.0,5,normal
