timestamp,iface,can_id,data,pgn,priority,destination,source,label
0.0,can0,217058307,EF03E716FFFFFFFF,61452,3,,3,normal
4e-06,can0,418383107,7D00007D4E204E43,61445,6,,3,normal
0.001853,can0,419318275,031F4FFFFFF3FFFF,65098,6,,3,normal
0.00186,can0,419356416,84A0287D7DFFFFF1,65247,6,,0,normal
0.002424,can0,285015296,FFFFFFFF0032FFFF,64765,4,,0,normal
0.006496,can0,419249664,F03EFF163FFFFFFF,64830,6,,0,normal
0.006948,can0,217056000,D1000AFFFF0F617E,61443,3,,0,normal
0.009855,can0,217055747,C00000FFF7701603,61442,3,,3,normal
0.011301,can0,418382080,FFFFFFFFFFFFFFFF,61441,6,,0,normal
0.013037,can0,217056256,707D82A516000F83,61444,3,,0,normal
0.01883,can0,217055747,C00000FFF7701603,61442,3,,3,normal
0.019408,can0,217058307,E903B316FFFFFFFF,61452,3,,3,normal
0.020557,can0,418382091,CFFFF0FFFFCDFFFF,61441,6,,11,normal
0.021835,can0,419356416,84A0287D7DFFFFF1,65247,6,,0,normal
0.026387,can0,419250176,FF3F00FFFFFFFFFF,64832,6,,0,normal
0.026908,can0,217056000,D1000AFFFF0F617E,61443,3,,0,normal
0.027466,can0,217057792,0A03EE05FFFFFFFF,61450,3,,0,normal
0.028097,can0,419360768,FFFFFFA716FFFFFF,65264,6,,0,normal
0.028616,can0,418385408,B626FFFFD59FFFFF,61454,6,,0,normal
0.029209,can0,217055747,C00000FFF76C1603,61442,3,,3,normal
0.029788,can0,485293824,200E0002FFCAFE00,60416,7,255.0,0,normal
0.030636,can0,419348235,00007D7D7D7DFFFF,65215,6,,11,normal
0.031392,can0,418394880,FFFFFFFFFFFFFFFF,61491,6,,0,normal
0.03378,can0,217056256,107D839016000F83,61444,3,,0,normal
0.033787,can0,201392901,FFFFFFFFFFF3FFFF,256,3,3.0,5,normal
0.036382,can0,419230208,E1FFFFFFFFFFFFFF,64754,6,,0,normal
0.038836,can0,217055747,C00000FFF76C1603,61442,3,,3,normal
0.039436,can0,217058307,EA034A16FFFFFFFF,61452,3,,3,normal
0.042326,can0,419356416,84A0287D7DFFFFF1,65247,6,,0,normal
0.042336,can0,418385664,FFFFFFFFFFFFFFFF,61455,6,,0,normal
0.046827,can0,217056000,D1000BFFFF0F617E,61443,3,,0,normal
0.046878,can0,418382129,FFFFFF3F00FFFFFF,61441,6,,49,normal
0.047546,can0,419361024,FF0000FCFF6800CF,65265,6,,0,normal
0.048021,can0,419361073,F3FFFFC3CCFFFFF0,65265,6,,49,normal
0.048771,can0,419360817,FFFFFFFFFFFCCCFF,65264,6,,49,normal
0.049246,can0,217055747,C00000FFF7681603,61442,3,,3,normal
0.049824,can0,419383345,0000FFFF00000000,65352,6,,49,normal
0.050406,can0,419361329,FFFFFFFFFFFFFFFF,65266,6,,49,normal
0.051,can0,217056049,FFFFFFFFFFFFFFFF,61443,3,,49,normal
