timestamp,iface,can_id,data,pgn,priority,destination,source,label
0.0,can0,217058307,1804FA2BFFFFFFFF,61452,3,,3,normal
0.000536,can0,419356416,90A0287D7DFFFFF5,65247,6,,0,normal
0.002192,can0,418383107,7E1E0C7E35203143,61445,6,,3,normal
0.002201,can0,419318275,030F4FFFFFF3FFFF,65098,6,,3,normal
0.004231,can0,201392901,FFFFFFFFFFF3FFFF,256,3,3.0,5,normal
0.004854,can0,419356672,0300000019963500,65248,6,,0,normal
0.005401,can0,217056000,D06E2FFFFF4F6F89,61443,3,,0,normal
0.009886,can0,217055747,C15A0CFFF74E2603,61442,3,,3,normal
0.009894,can0,419361280,1C01EE01A003E1FF,65266,6,,0,normal
0.009967,can0,418385664,6818FFFFD59FFFFF,61455,6,,0,normal
0.012688,can0,217056256,31A6A6452C000FA6,61444,3,,0,normal
0.014604,can0,419355392,FFFF2A6FFFFFFFFF,65243,6,,0,normal
0.017131,can0,418382129,FFFFFF3F00FFFFFF,61441,6,,49,normal
0.017675,can0,419361073,F3FFFFC3CCFFFFF0,65265,6,,49,normal
0.018254,can0,419360817,FFFFFFFFFFFCCCFF,65264,6,,49,normal
0.018817,can0,217055747,C15A0CFFF74E2603,61442,3,,3,normal
0.019405,can0,419383345,0000FFFF00000000,65352,6,,49,normal
0.019974,can0,217058307,1A04532CFFFFFFFF,61452,3,,3,normal
0.020548,can0,419356416,90A0287D7DFFFFF5,65247,6,,0,normal
0.021167,can0,419361329,FFFFFFFFFFFFFFFF,65266,6,,49,normal
0.021754,can0,285015296,FFFFFFFFB975FFFF,64765,4,,0,normal
0.022316,can0,217056049,FFFFFFFFFFFFFFFF,61443,3,,49,normal
0.024852,can0,217056000,D06E2FFFFF4F6F89,61443,3,,0,normal
0.028817,can0,217055747,C15E0CFFF75A2603,61442,3,,3,normal
0.029472,can0,419351043,00FF00000000FFFF,65226,6,,3,normal
0.030091,can0,418382080,FFFFFFFFFFFFFFFF,61441,6,,0,normal
0.031529,can0,217056256,31A6A66E2C000FA6,61444,3,,0,normal
0.03477,can0,419362304,FF0460FFFFFFFFFF,65270,6,,0,normal
0.039131,can0,217055747,C15E0CFFF75A2603,61442,3,,3,normal
0.039424,can0,217058307,1F047D2CFFFFFFFF,61452,3,,3,normal
0.040042,can0,419356416,90A0287D7DFFFFF5,65247,6,,0,normal
0.045168,can0,217056000,D06E2FFFFF4F6F89,61443,3,,0,normal
0.045291,can0,217057792,D401FE10FFFFFFFF,61450,3,,0,normal
0.046685,can0,419360768,FFFFFFC02BFFFFFF,65264,6,,0,normal
0.046694,can0,418385408,181FFFFFD59FFFFF,61454,6,,0,normal
0.048832,can0,217055747,C15F0CFFF76B2603,61442,3,,3,normal
0.049447,can0,418394880,FFFFFFFFFFFFFFFF,61491,6,,0,normal
0.051501,can0,217056256,21A6A6972C000FA6,61444,3,,0,normal
0.054173,can0,201392901,FFFFFFFFFFF3FFFF,256,3,3.0,5,normal
